Individual,DYS19,DXYS156Y,DYS389m,DYS389n,DYS389p,DYS389q,DYS390m,DYS390n,DYS390p,DYS390q,DYS392,DYS393,YAPbcbc,SRY1532bb,92R7bb
H1,14,12,4,12,3,10,8,10,1,4,15,13,0,1,1
H3,15,13,4,13,3,9,8,10,1,4,13,12,0,1,1
H4,15,11,5,11,3,10,8,10,1,4,11,14,0,1,1
H5,17,13,4,11,3,10,7,10,1,4,14,12,0,1,1
H7,13,12,5,12,3,11,8,11,1,4,14,14,0,1,1
H8,16,11,5,12,3,10,8,10,1,4,11,15,0,1,1
H9,16,11,5,11,3,10,8,10,1,4,11,14,0,1,1
H15,15,12,4,12,3,10,8,10,1,4,14,13,0,1,1
H16,16,13,4,12,3,10,8,11,1,4,12,12,0,1,1
H17,15,12,4,12,3,10,8,9,1,4,14,13,0,1,1
H18,16,11,5,11,3,10,8,11,1,4,11,15,0,1,1
H19,17,13,4,12,3,9,8,12,1,4,13,12,0,1,1
H20,16,13,5,10,3,10,8,11,1,4,13,13,0,1,1
H22,17,11,5,12,3,10,8,10,1,4,11,14,0,1,1
H24,15,13,4,12,3,9,8,10,1,4,12,12,0,1,1
H25,16,13,4,14,3,9,8,11,1,4,13,12,0,1,1
H26,15,13,4,13,3,9,8,11,1,4,13,12,0,1,1
H28,16,11,5,12,3,10,8,10,1,4,11,14,0,1,1
H29,16,11,4,14,3,10,8,11,1,4,11,15,0,1,1
H32,14,12,5,11,3,11,7,11,1,4,11,12,0,1,1
H33,15,13,4,12,3,11,8,11,1,4,12,12,0,1,1
H35,15,12,4,12,3,10,9,11,1,4,13,13,0,1,1
H37,15,11,4,12,3,10,8,10,1,4,11,14,0,1,1
H38,16,13,4,14,3,9,8,11,1,4,13,12,0,1,1